Unnamed: 0,acousticness,duration_ms,energy,instrumentalness,key,loudness,mode,speechiness,tempo,valence,song_title
28,0.0516,228562.0,0.572,0.0,4.0,-7.467,0.0,0.0385,120.021,0.237,Look Alive
29,0.282,186096.0,0.6483829787234042,0.125,1.0,-12.766,1.0,0.102,129.004,0.326,Please Stop Making Fake Versace
30,0.00791,220934.0,0.449,0.0,2.0,-12.037,1.0,0.156,135.45,0.137,Milly Rock
31,0.0219,285240.0,0.642,1.31e-06,2.0,-8.828,1.0,0.0534,123.48889583333334,0.27,Blasé (feat. Future & Rae Sremmurd)
32,0.0358,213000.0,0.598,0.0,8.0,-5.534,1.0,0.0713,127.029,0.424,Best Friend
33,0.0324,280831.0,0.559,0.0,5.0,-5.876,1.0,0.141,146.923,0.429,Hercules
34,0.118,232880.0,0.687,0.0,9.0,-7.771,1.0,0.0458,119.999,0.683,Who Be Lovin Me (feat. ILOVEMAKONNEN)
35,0.0428,230693.0,0.581,0.0,0.0,-5.164,0.0,0.323,110.953,0.372,Check
36,0.297,175613.0,0.823,0.0,7.0,-3.916,1.0,0.081,148.23,0.855,Poppin' My Collar
37,0.0565,254977.33333333334,0.547,0.0,1.0,-7.535,1.0,0.13182083333333333,142.065,0.677,Jumpman
38,0.0128,213507.0,0.705,0.0,9.0,-5.137,0.0,0.126,136.024,0.571,07-Nov
39,0.135,237187.0,0.591,5.5e-05,1.0,-7.431,0.0,0.0327,124.111,0.848,Somebody's Watching Me
40,0.00041,324541.0,0.852,0.625,11.0,-6.08,1.0,0.0476,125.008,0.622,Bang That
41,0.00356,186122.0,0.402,0.0,8.0,-8.751,1.0,0.164,147.028,0.069,I Don't Sell Molly No More
42,0.00156,183000.0,0.792,1.54e-06,10.0,-5.33,0.0,0.0473,139.94,0.318,Versace Python
43,0.00243,254977.33333333334,0.683,0.00856,11.0,-5.619,0.0,0.242,124.283,0.0891,Monster
44,0.533,234526.0,0.819,0.0,7.0,-4.108,1.0,0.455,166.012,0.624,Char
45,0.00631,213093.0,0.833,0.0,2.0,-5.379,1.0,0.108,123.48889583333334,0.607,Return Of The Mack - C & J Street Mix
46,0.12469350000000001,386160.0,0.756,0.711,2.0,-10.714,1.0,0.0575,114.28,0.947,Fantastic Man
47,0.0923,175240.0,0.494,0.000408,1.0,-13.702,1.0,0.0456,104.593,0.832,Right Place Wrong Time
48,0.375,252547.0,0.86,0.00457,5.0,-6.202,0.0,0.0653,129.008,0.973,Azon de ma gnin kpevi
49,0.183,576888.0,0.957,0.09268847530612245,3.0,-7.767499999999999,1.0,0.0689,106.714,0.93,Odofo Nyi Akyiri Biara
